FN,CT,ZT,CFUN,FNCL,LID,L0,L1,QCT,QIO,QPP,QPW,QRL,UNIF
mrot1,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
drot1,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,1
mrtak,LLLLL,LLLLL,.,mmisc,.,.,.,0,0,0,0,0,1
drtak,LLLLL,LLLLL,.,dmisc,.,.,.,0,0,0,0,0,1
mltak,RRRRR,RRRRR,.,mmisc,.,.,.,0,0,0,0,0,1
dltak,RRRRR,RRRRR,.,dmisc,.,.,.,0,0,0,0,0,1
dindr,?????,?????,?,indr,?,?,?,?,1,?,?,0,0
dindrfr,?????,?????,?,indr,?,?,?,?,1,?,?,0,0
dinds,?????,?????,?,inds,?,?,?,?,1,?,?,0,0
msl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
msl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dbsl,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
dbsl1,RRRRR,RRRRR,.,replicate,.,.,.,.,0,0,0,0,0
mbang,BIDZC,BIIZC,.,mmisc,.,.,.,0,0,0,0,0,1
dbang,BDDZC,BDDZC,.,dmisc,.,.,.,0,0,0,0,0,0
mcirc,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dcirc,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mquer,IIIII,IIIII,.,query,.,.,.,0,1,0,0,1,0
dquer,IIIII,IIIII,.,query,.,.,.,0,1,0,0,1,0
mlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dlog,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mdiv,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
ddiv,DDDZC,DDDZC,.,dsf,.,.,.,0,0,0,0,0,1
mlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
dlog,DDDZC,DDDZC,.,msf,.,.,.,0,0,0,0,0,1
subs,?????,?????,.,?,.,.,.,0,0,0,0,0,?
rsub,?????,?????,.,?,.,.,.,0,0,0,0,0,?
cap,?????,?????,.,?,.,.,.,0,0,0,0,0,?
cup,?????,?????,.,?,.,.,.,0,0,0,0,0,?
hydr,?????,?????,.,?,.,.,.,0,0,0,0,0,0
